GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6003,"Alpine, CA",64,      Management of companies and enterprises,0,0,0,0,0,0,0,0,0,0
6003,"Alpine, CA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),391,(D),(D),(D),(D),(D)
6003,"Alpine, CA",68,"    Educational services, health care, and social assistance",(D),924,(D),1455,923,1008,996,905,739,830
6003,"Alpine, CA",69,      Educational services,(D),12,13,87,69,110,122,126,0,0
6003,"Alpine, CA",70,      Health care and social assistance,(D),913,(D),1368,854,898,874,779,739,830
6003,"Alpine, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",31027,28083,25127,21129,30713,31100,30710,30021,(D),31401
6003,"Alpine, CA",76,"      Arts, entertainment, and recreation",(D),6860,8438,7706,(D),(D),(D),(D),(D),(D)
6003,"Alpine, CA",79,      Accommodation and food services,(D),21223,16689,13422,(D),(D),(D),(D),(D),(D)
6003,"Alpine, CA",82,    Other services (except government and government enterprises),(D),(D),(D),(D),(D),(D),1389,1237,(D),(D)
6003,"Alpine, CA",83,Government and government enterprises,17726,18733,19042,21332,21708,22715,22842,19796,19694,20880
6003,"Alpine, CA",,Addenda:,,,,,,,,,,
6003,"Alpine, CA",87,Natural resources and mining,110,9,40,(D),38,(D),118,112,0,0
6003,"Alpine, CA",88,Trade,(D),2782,3924,(D),2063,1718,1193,795,(D),(D)
6003,"Alpine, CA",89,Transportation and utilities,284,(D),(D),(D),(D),(D),(D),(D),421,513
6003,"Alpine, CA",90,Manufacturing and information,965,343,82,593,360,2226,2777,2673,878,614
6003,"Alpine, CA",91,Private goods-producing industries 2/,3205,2134,(D),(D),2533,(D),(D),1352,(D),(D)
6003,"Alpine, CA",92,Private services-providing industries 3/,63958,75724,(D),(D),86767,(D),(D),95400,(D),(D)
6005,"Amador, CA",1,All industry total,1428232,1443179,1398967,1491459,1578560,1665400,1744001,1823491,1901466,2067676
6005,"Amador, CA",2,  Private industries,1047255,1076776,1048413,1137139,1214874,1269843,1329115,1392977,1457341,1614103
6005,"Amador, CA",3,"    Agriculture, forestry, fishing and hunting",8881,(D),(D),31230,28863,24455,18257,15799,18671,22283
6005,"Amador, CA",6,"    Mining, quarrying, and oil and gas extraction",26776,27310,32681,24716,15273,10289,12780,15853,19570,36189
6005,"Amador, CA",10,    Utilities,(D),(D),(D),101108,90062,(D),(D),(D),(D),(D)
6005,"Amador, CA",11,    Construction,79128,65775,55435,58267,108743,124682,75925,70894,109373,102430
6005,"Amador, CA",12,    Manufacturing,61322,75974,88396,117626,131588,154540,174912,185414,179377,184396
6005,"Amador, CA",13,      Durable goods manufacturing,21179,22362,24787,26577,24267,26650,22387,27025,28266,29221
6005,"Amador, CA",25,      Nondurable goods manufacturing,40143,53611,63608,91049,107321,127890,152525,158390,151111,155175
6005,"Amador, CA",34,    Wholesale trade,(D),(D),(D),16160,12482,(D),(D),(D),(D),(D)
